id1,id,duration,service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,num_compromised,num_root,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,role,AttCat,attType
0,2,0,private,S0,0,0,0,0,0,0,123,1.0,1.0,0.0,0.0,0.05,255,26,0.1,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
1,5,0,private,REJ,0,0,0,0,0,0,121,0.0,0.0,1.0,1.0,0.16,255,19,0.07,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
2,6,0,private,S0,0,0,0,0,0,0,166,1.0,1.0,0.0,0.0,0.05,255,9,0.04,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
3,8,0,remote_job,S0,0,0,0,0,0,0,270,1.0,1.0,0.0,0.0,0.09,255,23,0.09,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
4,11,0,private,S0,0,0,0,0,0,0,199,1.0,1.0,0.0,0.0,0.02,255,13,0.05,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
5,14,0,name,S0,0,0,0,0,0,0,233,1.0,1.0,0.0,0.0,0.0,255,1,0.0,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
7,31,0,finger,S0,0,0,0,0,0,0,57,1.0,1.0,0.0,0.0,0.28,255,59,0.23,0.04,1.0,1.0,0.0,0.0,technician,Dos,neptune
9,37,0,supdup,S0,0,0,0,0,0,0,205,1.0,1.0,0.0,0.0,0.08,255,17,0.07,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
10,39,0,uucp_path,S0,0,0,0,0,0,0,228,1.0,1.0,0.0,0.0,0.06,255,13,0.05,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
11,40,0,ftp_data,S0,0,0,0,0,0,0,50,1.0,1.0,0.0,0.0,0.22,255,63,0.25,0.02,1.0,1.0,0.0,0.0,admin,Dos,neptune
12,45,0,csnet_ns,S0,0,0,0,0,0,0,108,1.0,1.0,0.0,0.0,0.1,255,11,0.04,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
13,51,0,private,REJ,0,0,0,0,0,0,61,0.0,0.0,1.0,1.0,0.07,255,4,0.02,0.08,0.0,0.0,1.0,1.0,admin,Dos,neptune
14,57,0,uucp,S0,0,0,0,0,0,0,135,1.0,1.0,0.0,0.0,0.07,255,11,0.04,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
15,58,0,finger,S0,0,0,0,0,0,0,24,1.0,1.0,0.0,0.0,0.5,255,59,0.23,0.04,1.0,1.0,0.0,0.0,admin,Dos,neptune
16,61,0,private,REJ,0,0,0,0,0,0,206,0.0,0.0,1.0,1.0,0.02,255,4,0.02,0.08,0.0,0.0,1.0,1.0,superuser,Dos,neptune
17,64,0,private,REJ,0,0,0,0,0,0,63,0.0,0.0,1.0,1.0,0.16,255,10,0.04,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
18,67,0,http,S0,0,0,0,0,0,0,52,1.0,1.0,0.0,0.0,0.37,255,67,0.26,0.02,1.0,1.0,0.0,0.0,technician,Dos,neptune
19,68,0,netbios_dgm,REJ,0,0,0,0,0,0,125,0.0,0.0,1.0,1.0,0.06,255,6,0.02,0.07,0.0,0.0,1.0,1.0,technician,Dos,neptune
20,69,0,supdup,S0,0,0,0,0,0,0,168,1.0,1.0,0.0,0.0,0.12,255,21,0.08,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
21,81,0,uucp_path,REJ,0,0,0,0,0,0,135,0.0,0.0,1.0,1.0,0.05,255,7,0.03,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
23,85,0,private,S0,0,0,0,0,0,0,212,1.0,1.0,0.0,0.0,0.03,72,7,0.1,0.11,0.97,1.0,0.0,0.0,superuser,Dos,neptune
24,93,0,private,REJ,0,0,0,0,0,0,146,0.0,0.0,1.0,1.0,0.12,255,10,0.04,0.08,0.0,0.0,1.0,1.0,admin,Dos,neptune
25,99,0,private,S0,0,0,0,0,0,0,129,1.0,1.0,0.0,0.0,0.12,255,12,0.05,0.05,1.0,1.0,0.0,0.0,superuser,Dos,neptune
26,116,0,Z39_50,REJ,0,0,0,0,0,0,110,0.0,0.0,1.0,1.0,0.15,255,17,0.07,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
27,122,0,csnet_ns,S0,0,0,0,0,0,0,259,1.0,1.0,0.0,0.0,0.03,255,8,0.03,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
