,id,duration,service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,num_compromised,num_root,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,role,AttCat,attType
6,30,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,53,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
8,33,0,private,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.31,0.0,0.0,0.29,1.0,admin,Probe,portsweep
22,83,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,95,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
34,146,0,gopher,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,255,1,0.0,1.0,1.0,1.0,0.0,0.0,technician,Probe,nmap
42,177,0,other,REJ,0,0,0,0,0,0,486,0.08,0.0,0.89,1.0,0.0,255,1,0.0,0.91,0.11,0.0,0.89,1.0,technician,Probe,satan
43,178,0,other,SF,1,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.27,255,6,0.02,0.06,0.0,0.0,0.0,0.0,admin,Probe,satan
52,224,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,25,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
57,254,0,sql_net,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,255,1,0.0,1.0,1.0,1.0,0.0,0.0,technician,Probe,nmap
59,258,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.38,0.0,0.0,0.37,1.0,technician,Probe,portsweep
62,268,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,111,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
70,297,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,4,112,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
73,308,0,time,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.16,0.0,0.0,0.15,1.0,technician,Probe,portsweep
75,316,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,11,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
78,330,0,private,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.6,0.01,0.0,0.57,1.0,admin,Probe,portsweep
84,350,0,private,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.53,0.0,0.0,0.51,1.0,superuser,Probe,portsweep
85,354,0,other,REJ,0,0,0,0,0,0,425,0.08,0.0,0.91,1.0,0.0,255,1,0.0,1.0,0.08,0.0,0.92,1.0,admin,Probe,satan
87,365,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,255,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
97,396,31401,private,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.82,0.0,0.0,1.0,1.0,technician,Probe,portsweep
98,404,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,41,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
104,423,0,private,SF,1,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.08,255,24,0.09,0.2,0.0,0.0,0.34,0.0,admin,Probe,satan
123,507,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,59,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
127,528,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.82,0.0,0.0,1.0,1.0,technician,Probe,portsweep
129,530,0,private,SF,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,255,2,0.01,0.73,0.03,0.0,0.62,0.0,superuser,Probe,satan
142,570,0,eco_i,SF,18,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,225,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
145,591,41285,remote_job,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.28,0.0,0.0,0.56,1.0,admin,Probe,portsweep
149,605,13488,other,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.68,0.0,0.0,1.0,1.0,admin,Probe,portsweep
153,616,0,private,REJ,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,62,2,0.02,1.0,0.0,0.0,0.92,1.0,admin,Probe,ipsweep
155,621,25,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.7,0.0,0.0,0.69,1.0,admin,Probe,portsweep
162,643,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,179,1,0.01,0.17,0.0,0.0,0.33,1.0,technician,Probe,portsweep
163,652,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,255,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
186,756,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,66,1,0.02,0.32,0.09,0.0,0.27,1.0,technician,Probe,portsweep
188,759,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,183,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
196,781,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2,129,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
197,785,21263,private,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.66,0.0,0.0,1.0,1.0,admin,Probe,portsweep
211,842,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,53,1,0.02,0.15,0.11,0.0,0.09,1.0,admin,Probe,portsweep
213,851,0,private,SF,1,0,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0,255,214,0.84,0.02,0.0,0.0,0.0,0.0,admin,Probe,satan
221,874,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,17,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
226,887,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,208,1,0.0,0.77,0.03,0.0,0.63,1.0,technician,Probe,portsweep
227,891,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,169,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,nmap
229,909,0,private,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.25,0.0,0.0,0.24,1.0,technician,Probe,portsweep
232,920,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,153,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
240,963,0,other,S0,0,0,0,0,0,0,511,0.17,1.0,0.82,0.0,0.0,255,1,0.0,1.0,0.2,1.0,0.8,0.0,admin,Probe,satan
243,988,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,139,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
246,992,1051,other,RSTR,1,0,0,0,0,0,2,0.0,0.0,1.0,1.0,1.0,255,2,0.01,0.73,0.0,0.0,1.0,1.0,technician,Probe,portsweep
253,1020,0,private,REJ,0,0,0,0,0,0,432,0.05,0.0,0.93,1.0,0.0,255,1,0.0,1.0,0.08,0.0,0.92,1.0,admin,Probe,satan
254,1022,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,73,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
