,id,duration,service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,num_compromised,num_root,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,role,AttCat,attType
805,3173,98,telnet,SF,621,8356,0,1,5,14,1,0.0,0.0,0.0,0.0,1.0,255,4,0.02,0.02,0.0,0.0,0.0,0.0,admin,U2R,rootkit
1474,5831,0,ftp_data,SF,0,5828,0,1,0,0,2,0.0,0.0,0.0,0.0,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,superuser,U2R,buffer_overflow
2877,11448,708,telnet,SF,1727,24080,0,1,6,7,1,0.0,0.0,0.0,0.0,1.0,255,3,0.01,0.02,0.0,0.0,0.0,0.0,admin,U2R,rootkit
3810,15188,113,telnet,SF,6274,16771,0,1,2,0,1,0.0,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,superuser,U2R,buffer_overflow
6218,25326,0,ftp_data,SF,0,5690,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,technician,U2R,buffer_overflow
6306,25636,49,telnet,SF,2402,3939,0,1,2,0,1,0.0,0.0,0.0,0.0,1.0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
6731,27430,0,ftp_data,SF,0,2072,0,1,0,0,3,0.0,0.0,0.0,0.0,1.0,4,4,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
9147,37270,61,telnet,SF,294,3929,0,1,0,4,1,0.0,0.0,0.0,0.0,1.0,255,4,0.02,0.02,0.0,0.25,0.73,0.25,superuser,U2R,rootkit
10059,40845,0,other,SF,32,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,255,1,0.0,0.02,0.0,0.0,0.0,0.0,superuser,U2R,rootkit
10491,42564,60,telnet,SF,90,233,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,255,2,0.01,0.02,0.0,0.0,0.0,0.0,technician,U2R,rootkit
12023,48750,79,telnet,SF,281,1301,0,1,1,0,1,0.0,0.0,0.0,0.0,1.0,1,10,1.0,0.0,0.0,0.0,0.0,0.1,superuser,U2R,loadmodule
16075,65086,60,telnet,SF,86,183,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,255,1,0.0,0.02,0.0,0.0,0.0,0.0,admin,U2R,rootkit
17080,69147,54,telnet,SF,260,2635,0,1,0,2,1,0.0,0.0,0.0,0.0,1.0,255,1,0.0,0.01,0.0,0.0,0.0,0.0,technician,U2R,perl
17166,69476,45,telnet,SF,2336,4201,0,1,1,0,2,0.0,0.0,0.5,0.0,0.5,7,7,1.0,0.0,0.0,0.0,0.14,0.14,technician,U2R,buffer_overflow
17170,69490,103,telnet,SF,302,8876,0,1,4,3,1,0.0,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,technician,U2R,loadmodule
17272,69942,0,ftp_data,SF,0,5636,0,1,2,2,1,0.0,0.0,0.0,0.0,1.0,1,41,1.0,0.0,0.0,0.0,0.0,0.0,superuser,U2R,rootkit
17777,72016,162,telnet,SF,1567,2738,0,1,4,0,1,0.0,0.0,0.0,0.0,1.0,4,4,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
18227,73906,0,other,SF,4,4,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,superuser,U2R,rootkit
19221,77830,0,ftp_data,SF,0,5020,0,1,0,0,3,0.0,0.0,0.0,0.0,1.0,3,83,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
19618,79509,31,telnet,SF,2402,3814,0,1,2,0,1,0.0,0.0,0.0,0.0,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
20266,82252,7,ftp,SF,226,698,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,superuser,U2R,buffer_overflow
21990,89257,33,telnet,SF,2402,3815,0,1,2,0,1,0.0,0.0,0.0,0.0,1.0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
22641,91937,31,telnet,SF,142,1278,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,5,3,0.6,0.6,0.0,0.0,0.0,0.0,superuser,U2R,loadmodule
24523,99760,158,telnet,SF,1567,3095,0,1,4,0,1,0.0,0.0,0.0,0.0,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,admin,U2R,buffer_overflow
