id1,AttCat,class,dst_bytes,dst_host_count,dst_host_srv_count,flag,id,is_guest_login,is_host_login,logged_in,num_access_files,num_compromised,num_root,protocol_type,rerror_rate,role,root_shell,serror_rate,service,src_bytes,srv_count,su_attempted
6,Dos,neptune,0.0,255.0,9.0,S0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,technician,0.0,1.0,private,0.0,9.0,0.0
8,Dos,neptune,0.0,255.0,23.0,S0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,remote_job,0.0,23.0,0.0
9,Dos,neptune,0.0,255.0,13.0,S0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,private,0.0,8.0,0.0
11,Dos,neptune,0.0,255.0,13.0,S0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,private,0.0,3.0,0.0
13,R2L,warezclient,0.0,2.0,20.0,SF,13.0,0.0,0.0,1.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,0.0,ftp_data,334.0,2.0,0.0
15,Dos,neptune,0.0,255.0,2.0,S0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,netbios_ns,0.0,16.0,0.0
17,Probe,ipsweep,0.0,1.0,16.0,SF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,technician,0.0,0.0,eco_i,18.0,1.0,0.0
24,Dos,neptune,0.0,255.0,2.0,S0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,mtp,0.0,2.0,0.0
26,Dos,neptune,0.0,255.0,13.0,S0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,private,0.0,7.0,0.0
30,Probe,ipsweep,0.0,1.0,53.0,SF,30.0,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,admin,0.0,0.0,eco_i,8.0,12.0,0.0
31,Dos,neptune,0.0,255.0,59.0,S0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,finger,0.0,16.0,0.0
33,Probe,portsweep,0.0,255.0,1.0,REJ,33.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,superuser,0.0,0.0,private,0.0,1.0,0.0
39,Dos,neptune,0.0,255.0,13.0,S0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,uucp_path,0.0,13.0,0.0
41,Dos,neptune,0.0,255.0,9.0,S0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,technician,0.0,1.0,Z39_50,0.0,12.0,0.0
46,Dos,teardrop,0.0,255.0,80.0,SF,46.0,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,superuser,0.0,0.0,private,28.0,80.0,0.0
48,R2L,warezclient,0.0,4.0,38.0,SF,48.0,0.0,0.0,1.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,0.0,ftp_data,334.0,2.0,0.0
52,Dos,teardrop,0.0,255.0,2.0,SF,52.0,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,admin,0.0,0.0,private,28.0,2.0,0.0
56,Probe,nmap,0.0,2.0,46.0,SF,56.0,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,technician,0.0,0.0,eco_i,8.0,15.0,0.0
57,Dos,neptune,0.0,255.0,11.0,S0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,uucp,0.0,9.0,0.0
61,Dos,neptune,0.0,255.0,4.0,REJ,61.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,admin,0.0,0.0,private,0.0,4.0,0.0
62,Probe,satan,0.0,255.0,1.0,REJ,62.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.89,superuser,0.0,0.1,private,0.0,1.0,0.0
64,Dos,neptune,0.0,255.0,10.0,REJ,64.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,superuser,0.0,0.0,private,0.0,10.0,0.0
67,Dos,neptune,0.0,255.0,67.0,S0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,http,0.0,19.0,0.0
68,Dos,neptune,0.0,255.0,6.0,REJ,68.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,technician,0.0,0.0,netbios_dgm,0.0,7.0,0.0
69,Dos,neptune,0.0,255.0,21.0,S0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,supdup,0.0,21.0,0.0
71,Dos,neptune,0.0,255.0,31.0,S0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,private,0.0,16.0,0.0
76,Dos,neptune,0.0,255.0,9.0,S0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,auth,0.0,9.0,0.0
81,Dos,neptune,0.0,255.0,7.0,REJ,81.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,superuser,0.0,0.0,uucp_path,0.0,7.0,0.0
82,Dos,neptune,0.0,255.0,2.0,S0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,domain,0.0,19.0,0.0
83,Probe,ipsweep,0.0,1.0,95.0,SF,83.0,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,technician,0.0,0.0,eco_i,8.0,44.0,0.0
93,Dos,neptune,0.0,255.0,10.0,REJ,93.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,admin,0.0,0.0,private,0.0,18.0,0.0
94,Dos,neptune,0.0,255.0,3.0,S0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,csnet_ns,0.0,6.0,0.0
99,Dos,neptune,0.0,255.0,12.0,S0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,private,0.0,16.0,0.0
104,Dos,teardrop,0.0,255.0,182.0,SF,104.0,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,admin,0.0,0.0,private,28.0,82.0,0.0
115,Probe,portsweep,0.0,255.0,2.0,RSTR,115.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,technician,0.0,0.0,private,1.0,2.0,0.0
120,Dos,neptune,0.0,255.0,20.0,REJ,120.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,1.0,superuser,0.0,0.0,uucp_path,0.0,20.0,0.0
122,Dos,neptune,0.0,255.0,8.0,S0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,admin,0.0,1.0,csnet_ns,0.0,8.0,0.0
124,Dos,neptune,0.0,255.0,8.0,S0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,superuser,0.0,1.0,bgp,0.0,6.0,0.0
