id,duration,service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,num_compromised,num_root,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,role,AttCat,attType
2,0,private,S0,0,0,0,0,0,0,123,1.0,1.0,0.0,0.0,0.05,255,26,0.1,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
5,0,private,REJ,0,0,0,0,0,0,121,0.0,0.0,1.0,1.0,0.16,255,19,0.07,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
6,0,private,S0,0,0,0,0,0,0,166,1.0,1.0,0.0,0.0,0.05,255,9,0.04,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
8,0,remote_job,S0,0,0,0,0,0,0,270,1.0,1.0,0.0,0.0,0.09,255,23,0.09,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
11,0,private,S0,0,0,0,0,0,0,199,1.0,1.0,0.0,0.0,0.02,255,13,0.05,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
14,0,name,S0,0,0,0,0,0,0,233,1.0,1.0,0.0,0.0,0.0,255,1,0.0,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
30,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,53,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
31,0,finger,S0,0,0,0,0,0,0,57,1.0,1.0,0.0,0.0,0.28,255,59,0.23,0.04,1.0,1.0,0.0,0.0,technician,Dos,neptune
33,0,private,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.31,0.0,0.0,0.29,1.0,admin,Probe,portsweep
37,0,supdup,S0,0,0,0,0,0,0,205,1.0,1.0,0.0,0.0,0.08,255,17,0.07,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
39,0,uucp_path,S0,0,0,0,0,0,0,228,1.0,1.0,0.0,0.0,0.06,255,13,0.05,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
40,0,ftp_data,S0,0,0,0,0,0,0,50,1.0,1.0,0.0,0.0,0.22,255,63,0.25,0.02,1.0,1.0,0.0,0.0,admin,Dos,neptune
45,0,csnet_ns,S0,0,0,0,0,0,0,108,1.0,1.0,0.0,0.0,0.1,255,11,0.04,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
51,0,private,REJ,0,0,0,0,0,0,61,0.0,0.0,1.0,1.0,0.07,255,4,0.02,0.08,0.0,0.0,1.0,1.0,admin,Dos,neptune
57,0,uucp,S0,0,0,0,0,0,0,135,1.0,1.0,0.0,0.0,0.07,255,11,0.04,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
58,0,finger,S0,0,0,0,0,0,0,24,1.0,1.0,0.0,0.0,0.5,255,59,0.23,0.04,1.0,1.0,0.0,0.0,admin,Dos,neptune
61,0,private,REJ,0,0,0,0,0,0,206,0.0,0.0,1.0,1.0,0.02,255,4,0.02,0.08,0.0,0.0,1.0,1.0,superuser,Dos,neptune
64,0,private,REJ,0,0,0,0,0,0,63,0.0,0.0,1.0,1.0,0.16,255,10,0.04,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
67,0,http,S0,0,0,0,0,0,0,52,1.0,1.0,0.0,0.0,0.37,255,67,0.26,0.02,1.0,1.0,0.0,0.0,technician,Dos,neptune
68,0,netbios_dgm,REJ,0,0,0,0,0,0,125,0.0,0.0,1.0,1.0,0.06,255,6,0.02,0.07,0.0,0.0,1.0,1.0,technician,Dos,neptune
69,0,supdup,S0,0,0,0,0,0,0,168,1.0,1.0,0.0,0.0,0.12,255,21,0.08,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
81,0,uucp_path,REJ,0,0,0,0,0,0,135,0.0,0.0,1.0,1.0,0.05,255,7,0.03,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
83,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,95,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
85,0,private,S0,0,0,0,0,0,0,212,1.0,1.0,0.0,0.0,0.03,72,7,0.1,0.11,0.97,1.0,0.0,0.0,superuser,Dos,neptune
93,0,private,REJ,0,0,0,0,0,0,146,0.0,0.0,1.0,1.0,0.12,255,10,0.04,0.08,0.0,0.0,1.0,1.0,admin,Dos,neptune
99,0,private,S0,0,0,0,0,0,0,129,1.0,1.0,0.0,0.0,0.12,255,12,0.05,0.05,1.0,1.0,0.0,0.0,superuser,Dos,neptune
116,0,Z39_50,REJ,0,0,0,0,0,0,110,0.0,0.0,1.0,1.0,0.15,255,17,0.07,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
122,0,csnet_ns,S0,0,0,0,0,0,0,259,1.0,1.0,0.0,0.0,0.03,255,8,0.03,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
124,0,bgp,S0,0,0,0,0,0,0,294,1.0,1.0,0.0,0.0,0.02,255,8,0.03,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
130,0,private,S0,0,0,0,0,0,0,190,1.0,1.0,0.0,0.0,0.11,255,20,0.08,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
131,0,ldap,REJ,0,0,0,0,0,0,135,0.0,0.0,1.0,1.0,0.04,255,1,0.0,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
134,0,private,S0,0,0,0,0,0,0,123,1.0,1.0,0.0,0.0,0.06,255,7,0.03,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
135,0,supdup,S0,0,0,0,0,0,0,245,1.0,1.0,0.0,0.0,0.08,255,7,0.03,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
142,0,netbios_dgm,REJ,0,0,0,0,0,0,250,0.0,0.0,1.0,1.0,0.01,255,2,0.01,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
146,0,gopher,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,255,1,0.0,1.0,1.0,1.0,0.0,0.0,technician,Probe,nmap
148,0,ftp_data,SF,334,0,0,1,0,0,2,0.0,0.0,0.0,0.0,1.0,6,26,1.0,0.0,0.0,0.0,0.0,0.0,admin,R2L,warezclient
149,0,telnet,S0,0,0,0,0,0,0,13,1.0,1.0,0.0,0.0,0.31,255,64,0.25,0.02,1.0,1.0,0.0,0.0,superuser,Dos,neptune
152,0,vmnet,S0,0,0,0,0,0,0,292,1.0,1.0,0.0,0.0,0.04,255,14,0.05,0.08,1.0,1.0,0.0,0.0,admin,Dos,neptune
153,0,systat,S0,0,0,0,0,0,0,295,1.0,1.0,0.0,0.0,0.06,255,1,0.0,0.08,1.0,1.0,0.0,0.0,technician,Dos,neptune
157,0,efs,S0,0,0,0,0,0,0,102,1.0,1.0,0.0,0.0,0.19,255,18,0.07,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
170,0,gopher,S0,0,0,0,0,0,0,44,1.0,1.0,0.0,0.0,0.27,255,12,0.05,0.08,1.0,1.0,0.0,0.0,superuser,Dos,neptune
172,0,ecr_i,SF,1032,0,0,0,0,0,511,0.0,0.0,0.0,0.0,1.0,255,212,0.83,0.02,0.0,0.0,0.0,0.0,technician,Dos,smurf
177,0,other,REJ,0,0,0,0,0,0,486,0.08,0.0,0.89,1.0,0.0,255,1,0.0,0.91,0.11,0.0,0.89,1.0,technician,Probe,satan
178,0,other,SF,1,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.27,255,6,0.02,0.06,0.0,0.0,0.0,0.0,admin,Probe,satan
184,0,private,SF,28,0,3,0,0,0,35,0.0,0.0,0.03,0.0,0.97,255,34,0.13,0.02,0.0,0.0,0.67,0.0,superuser,Dos,teardrop
186,0,private,S0,0,0,0,0,0,0,108,1.0,1.0,0.0,0.0,0.17,255,18,0.07,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
187,0,private,S0,0,0,0,0,0,0,101,1.0,1.0,0.0,0.0,0.05,255,15,0.06,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
193,0,echo,S0,0,0,0,0,0,0,223,1.0,1.0,0.0,0.0,0.08,255,17,0.07,0.06,1.0,1.0,0.0,0.0,superuser,Dos,neptune
211,0,ecr_i,SF,1480,0,1,0,0,0,2,0.0,0.0,0.0,0.0,1.0,2,38,1.0,0.0,0.0,0.0,0.0,0.0,technician,Dos,pod
212,0,iso_tsap,S0,0,0,0,0,0,0,277,1.0,1.0,0.0,0.0,0.06,255,17,0.07,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
215,0,sunrpc,S0,0,0,0,0,0,0,141,1.0,1.0,0.0,0.0,0.09,255,16,0.06,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
222,4,ftp_data,SF,832,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,3,28,1.0,0.0,0.0,0.0,0.0,0.0,admin,R2L,warezclient
224,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,25,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,ipsweep
227,0,kshell,S0,0,0,0,0,0,0,125,1.0,1.0,0.0,0.0,0.19,255,24,0.09,0.05,1.0,1.0,0.0,0.0,admin,Dos,neptune
237,0,kshell,S0,0,0,0,0,0,0,102,1.0,1.0,0.0,0.0,0.02,255,2,0.01,0.06,1.0,1.0,0.0,0.0,technician,Dos,neptune
242,0,vmnet,S0,0,0,0,0,0,0,281,1.0,1.0,0.0,0.0,0.01,255,3,0.01,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
243,0,telnet,S0,0,0,0,0,0,0,30,1.0,1.0,0.0,0.0,0.07,255,52,0.2,0.03,1.0,1.0,0.0,0.0,admin,Dos,neptune
254,0,sql_net,SH,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,255,1,0.0,1.0,1.0,1.0,0.0,0.0,technician,Probe,nmap
255,0,ecr_i,SF,1032,0,0,0,0,0,46,0.0,0.0,0.0,0.0,1.0,255,46,0.18,0.02,0.0,0.0,0.0,0.0,technician,Dos,smurf
258,0,private,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.38,0.0,0.0,0.37,1.0,technician,Probe,portsweep
260,0,vmnet,S0,0,0,0,0,0,0,211,1.0,1.0,0.0,0.0,0.1,255,22,0.09,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
263,0,mtp,REJ,0,0,0,0,0,0,280,0.0,0.0,1.0,1.0,0.04,255,11,0.04,0.07,0.0,0.0,1.0,1.0,superuser,Dos,neptune
268,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,111,1.0,0.0,0.0,0.0,0.0,0.0,technician,Probe,ipsweep
269,0,csnet_ns,S0,0,0,0,0,0,0,201,1.0,1.0,0.0,0.0,0.0,255,4,0.02,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
271,0,auth,REJ,0,0,0,0,0,0,276,0.0,0.0,1.0,1.0,0.05,255,14,0.05,0.07,0.0,0.0,1.0,1.0,admin,Dos,neptune
277,0,private,S0,0,0,0,0,0,0,256,1.0,1.0,0.0,0.0,0.05,255,10,0.04,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
284,0,bgp,S0,0,0,0,0,0,0,138,1.0,1.0,0.0,0.0,0.18,255,25,0.1,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
286,0,ftp,S0,0,0,0,0,0,0,300,1.0,1.0,0.0,0.0,0.02,255,7,0.03,0.07,1.0,1.0,0.0,0.0,admin,Dos,neptune
291,0,private,S0,0,0,0,0,0,0,144,1.0,1.0,0.0,0.0,0.1,255,30,0.12,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
292,0,sql_net,S0,0,0,0,0,0,0,104,1.0,1.0,0.0,0.0,0.04,255,18,0.07,0.07,1.0,1.0,0.0,0.0,technician,Dos,neptune
297,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,4,112,1.0,0.0,0.0,0.0,0.0,0.0,superuser,Probe,nmap
299,0,private,S0,0,0,0,0,0,0,74,1.0,1.0,0.0,0.0,0.22,255,5,0.02,0.06,1.0,1.0,0.0,0.0,admin,Dos,neptune
303,5043,ftp_data,SF,5131424,0,0,1,0,0,1,0.0,0.14,0.0,0.0,1.0,7,42,1.0,0.0,0.0,0.02,0.0,0.0,admin,R2L,warezclient
308,0,time,RSTR,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,255,1,0.0,0.16,0.0,0.0,0.15,1.0,technician,Probe,portsweep
315,0,ecr_i,SF,1032,0,0,0,0,0,213,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,admin,Dos,smurf
316,0,eco_i,SF,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,11,1.0,0.0,0.0,0.0,0.0,0.0,admin,Probe,ipsweep
319,0,private,S0,0,0,0,0,0,0,254,1.0,1.0,0.0,0.0,0.07,255,17,0.07,0.06,1.0,1.0,0.0,0.0,superuser,Dos,neptune
321,0,telnet,S0,0,0,0,0,0,0,295,1.0,1.0,0.0,0.0,0.02,255,7,0.03,0.05,1.0,1.0,0.0,0.0,technician,Dos,neptune
330,0,private,REJ,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,255,1,0.0,0.6,0.01,0.0,0.57,1.0,admin,Probe,portsweep
334,0,private,S0,0,0,0,0,0,0,260,1.0,1.0,0.0,0.0,0.03,255,7,0.03,0.07,1.0,1.0,0.0,0.0,superuser,Dos,neptune
339,0,private,REJ,0,0,0,0,0,0,139,0.0,0.0,1.0,1.0,0.07,255,6,0.02,0.09,0.0,0.0,1.0,1.0,superuser,Dos,neptune
